ï»¿Domain,Category,Pattern,Significance
8686.me,Repeating Pairs (ABAB),ABAB,VIP Lucky Pattern
8787.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
8989.me,Repeating Pairs (ABAB),ABAB,VIP Lucky Pattern
9090.me,Repeating Pairs (ABAB),ABAB,VIP Lucky Pattern
9191.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
9292.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
9393.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
9494.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
9595.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
9696.me,Repeating Pairs (ABAB),ABAB,VIP Lucky Pattern
9797.me,Repeating Pairs (ABAB),ABAB,Standard ABAB
9898.me,Repeating Pairs (ABAB),ABAB,VIP Lucky Pattern
