ï»¿Domain,Pattern,L1,L2,L3
anq.com,LLL (Letter-Letter-Letter),A,N,Q
anr.com,LLL (Letter-Letter-Letter),A,N,R
ans.com,LLL (Letter-Letter-Letter),A,N,S
ant.com,LLL (Letter-Letter-Letter),A,N,T
anu.com,LLL (Letter-Letter-Letter),A,N,U
anv.com,LLL (Letter-Letter-Letter),A,N,V
anw.com,LLL (Letter-Letter-Letter),A,N,W
anx.com,LLL (Letter-Letter-Letter),A,N,X
any.com,LLL (Letter-Letter-Letter),A,N,Y
anz.com,LLL (Letter-Letter-Letter),A,N,Z
aoa.com,LLL (Letter-Letter-Letter),A,O,A
aob.com,LLL (Letter-Letter-Letter),A,O,B
aoc.com,LLL (Letter-Letter-Letter),A,O,C
aod.com,LLL (Letter-Letter-Letter),A,O,D
aoe.com,LLL (Letter-Letter-Letter),A,O,E
aof.com,LLL (Letter-Letter-Letter),A,O,F
aog.com,LLL (Letter-Letter-Letter),A,O,G
aoh.com,LLL (Letter-Letter-Letter),A,O,H
aoi.com,LLL (Letter-Letter-Letter),A,O,I
aoj.com,LLL (Letter-Letter-Letter),A,O,J
aok.com,LLL (Letter-Letter-Letter),A,O,K
aol.com,LLL (Letter-Letter-Letter),A,O,L
aom.com,LLL (Letter-Letter-Letter),A,O,M
aon.com,LLL (Letter-Letter-Letter),A,O,N
aoo.com,LLL (Letter-Letter-Letter),A,O,O
aop.com,LLL (Letter-Letter-Letter),A,O,P
aoq.com,LLL (Letter-Letter-Letter),A,O,Q
aor.com,LLL (Letter-Letter-Letter),A,O,R
aos.com,LLL (Letter-Letter-Letter),A,O,S
aot.com,LLL (Letter-Letter-Letter),A,O,T
aou.com,LLL (Letter-Letter-Letter),A,O,U
aov.com,LLL (Letter-Letter-Letter),A,O,V
aow.com,LLL (Letter-Letter-Letter),A,O,W
aox.com,LLL (Letter-Letter-Letter),A,O,X
aoy.com,LLL (Letter-Letter-Letter),A,O,Y
aoz.com,LLL (Letter-Letter-Letter),A,O,Z
apa.com,LLL (Letter-Letter-Letter),A,P,A
apb.com,LLL (Letter-Letter-Letter),A,P,B
apc.com,LLL (Letter-Letter-Letter),A,P,C
apd.com,LLL (Letter-Letter-Letter),A,P,D
ape.com,LLL (Letter-Letter-Letter),A,P,E
apf.com,LLL (Letter-Letter-Letter),A,P,F
apg.com,LLL (Letter-Letter-Letter),A,P,G
aph.com,LLL (Letter-Letter-Letter),A,P,H
api.com,LLL (Letter-Letter-Letter),A,P,I
apj.com,LLL (Letter-Letter-Letter),A,P,J
apk.com,LLL (Letter-Letter-Letter),A,P,K
apl.com,LLL (Letter-Letter-Letter),A,P,L
apm.com,LLL (Letter-Letter-Letter),A,P,M
apn.com,LLL (Letter-Letter-Letter),A,P,N
apo.com,LLL (Letter-Letter-Letter),A,P,O
app.com,LLL (Letter-Letter-Letter),A,P,P
apq.com,LLL (Letter-Letter-Letter),A,P,Q
apr.com,LLL (Letter-Letter-Letter),A,P,R
aps.com,LLL (Letter-Letter-Letter),A,P,S
apt.com,LLL (Letter-Letter-Letter),A,P,T
apu.com,LLL (Letter-Letter-Letter),A,P,U
apv.com,LLL (Letter-Letter-Letter),A,P,V
apw.com,LLL (Letter-Letter-Letter),A,P,W
apx.com,LLL (Letter-Letter-Letter),A,P,X
apy.com,LLL (Letter-Letter-Letter),A,P,Y
apz.com,LLL (Letter-Letter-Letter),A,P,Z
aqa.com,LLL (Letter-Letter-Letter),A,Q,A
aqb.com,LLL (Letter-Letter-Letter),A,Q,B
aqc.com,LLL (Letter-Letter-Letter),A,Q,C
aqd.com,LLL (Letter-Letter-Letter),A,Q,D
aqe.com,LLL (Letter-Letter-Letter),A,Q,E
aqf.com,LLL (Letter-Letter-Letter),A,Q,F
aqg.com,LLL (Letter-Letter-Letter),A,Q,G
aqh.com,LLL (Letter-Letter-Letter),A,Q,H
aqi.com,LLL (Letter-Letter-Letter),A,Q,I
aqj.com,LLL (Letter-Letter-Letter),A,Q,J
aqk.com,LLL (Letter-Letter-Letter),A,Q,K
aql.com,LLL (Letter-Letter-Letter),A,Q,L
aqm.com,LLL (Letter-Letter-Letter),A,Q,M
aqn.com,LLL (Letter-Letter-Letter),A,Q,N
aqo.com,LLL (Letter-Letter-Letter),A,Q,O
aqp.com,LLL (Letter-Letter-Letter),A,Q,P
aqq.com,LLL (Letter-Letter-Letter),A,Q,Q
aqr.com,LLL (Letter-Letter-Letter),A,Q,R
aqs.com,LLL (Letter-Letter-Letter),A,Q,S
aqt.com,LLL (Letter-Letter-Letter),A,Q,T
aqu.com,LLL (Letter-Letter-Letter),A,Q,U
aqv.com,LLL (Letter-Letter-Letter),A,Q,V
aqw.com,LLL (Letter-Letter-Letter),A,Q,W
aqx.com,LLL (Letter-Letter-Letter),A,Q,X
aqy.com,LLL (Letter-Letter-Letter),A,Q,Y
aqz.com,LLL (Letter-Letter-Letter),A,Q,Z
ara.com,LLL (Letter-Letter-Letter),A,R,A
arb.com,LLL (Letter-Letter-Letter),A,R,B
arc.com,LLL (Letter-Letter-Letter),A,R,C
ard.com,LLL (Letter-Letter-Letter),A,R,D
are.com,LLL (Letter-Letter-Letter),A,R,E
arf.com,LLL (Letter-Letter-Letter),A,R,F
arg.com,LLL (Letter-Letter-Letter),A,R,G
arh.com,LLL (Letter-Letter-Letter),A,R,H
ari.com,LLL (Letter-Letter-Letter),A,R,I
arj.com,LLL (Letter-Letter-Letter),A,R,J
ark.com,LLL (Letter-Letter-Letter),A,R,K
arl.com,LLL (Letter-Letter-Letter),A,R,L
arm.com,LLL (Letter-Letter-Letter),A,R,M
arn.com,LLL (Letter-Letter-Letter),A,R,N
aro.com,LLL (Letter-Letter-Letter),A,R,O
arp.com,LLL (Letter-Letter-Letter),A,R,P
arq.com,LLL (Letter-Letter-Letter),A,R,Q
arr.com,LLL (Letter-Letter-Letter),A,R,R
ars.com,LLL (Letter-Letter-Letter),A,R,S
art.com,LLL (Letter-Letter-Letter),A,R,T
aru.com,LLL (Letter-Letter-Letter),A,R,U
arv.com,LLL (Letter-Letter-Letter),A,R,V
arw.com,LLL (Letter-Letter-Letter),A,R,W
arx.com,LLL (Letter-Letter-Letter),A,R,X
ary.com,LLL (Letter-Letter-Letter),A,R,Y
arz.com,LLL (Letter-Letter-Letter),A,R,Z
asa.com,LLL (Letter-Letter-Letter),A,S,A
asb.com,LLL (Letter-Letter-Letter),A,S,B
asc.com,LLL (Letter-Letter-Letter),A,S,C
asd.com,LLL (Letter-Letter-Letter),A,S,D
ase.com,LLL (Letter-Letter-Letter),A,S,E
asf.com,LLL (Letter-Letter-Letter),A,S,F
asg.com,LLL (Letter-Letter-Letter),A,S,G
ash.com,LLL (Letter-Letter-Letter),A,S,H
asi.com,LLL (Letter-Letter-Letter),A,S,I
asj.com,LLL (Letter-Letter-Letter),A,S,J
ask.com,LLL (Letter-Letter-Letter),A,S,K
asl.com,LLL (Letter-Letter-Letter),A,S,L
asm.com,LLL (Letter-Letter-Letter),A,S,M
asn.com,LLL (Letter-Letter-Letter),A,S,N
aso.com,LLL (Letter-Letter-Letter),A,S,O
asp.com,LLL (Letter-Letter-Letter),A,S,P
asq.com,LLL (Letter-Letter-Letter),A,S,Q
asr.com,LLL (Letter-Letter-Letter),A,S,R
ass.com,LLL (Letter-Letter-Letter),A,S,S
ast.com,LLL (Letter-Letter-Letter),A,S,T
asu.com,LLL (Letter-Letter-Letter),A,S,U
asv.com,LLL (Letter-Letter-Letter),A,S,V
asw.com,LLL (Letter-Letter-Letter),A,S,W
asx.com,LLL (Letter-Letter-Letter),A,S,X
asy.com,LLL (Letter-Letter-Letter),A,S,Y
asz.com,LLL (Letter-Letter-Letter),A,S,Z
ata.com,LLL (Letter-Letter-Letter),A,T,A
atb.com,LLL (Letter-Letter-Letter),A,T,B
atc.com,LLL (Letter-Letter-Letter),A,T,C
atd.com,LLL (Letter-Letter-Letter),A,T,D
ate.com,LLL (Letter-Letter-Letter),A,T,E
atf.com,LLL (Letter-Letter-Letter),A,T,F
atg.com,LLL (Letter-Letter-Letter),A,T,G
ath.com,LLL (Letter-Letter-Letter),A,T,H
ati.com,LLL (Letter-Letter-Letter),A,T,I
atj.com,LLL (Letter-Letter-Letter),A,T,J
atk.com,LLL (Letter-Letter-Letter),A,T,K
atl.com,LLL (Letter-Letter-Letter),A,T,L
atm.com,LLL (Letter-Letter-Letter),A,T,M
atn.com,LLL (Letter-Letter-Letter),A,T,N
ato.com,LLL (Letter-Letter-Letter),A,T,O
atp.com,LLL (Letter-Letter-Letter),A,T,P
