القطاع,الاختصار,التقييم,المعنى بالإنجليزية,المعنى بالعربية
الطيران التجاري والخاص (AviationTech),FDR,9.5/10,Flight Data Recorder,مسجل بيانات الرحلة (الصندوق الأسود)
الطيران التجاري والخاص (AviationTech),IFC,9.5/10,In-Flight Connectivity,الاتصال اللاسلكي أثناء الرحلة
الطيران التجاري والخاص (AviationTech),IFE,10/10,In-Flight Entertainment,الترفيه على متن الطائرة
الطيران التجاري والخاص (AviationTech),GSE,9.5/10,Ground Support Equipment,معدات الدعم الأرضي
الطيران التجاري والخاص (AviationTech),ACM,9/10,Air Cycle Machine,آلة دورة الهواء (تكييف الطائرات)
الطيران التجاري والخاص (AviationTech),ACMI,10/10,Aircraft Crew Maintenance Insurance,تأجير الطائرات الشامل (مصطلح B2B ضخم)
الطيران التجاري والخاص (AviationTech),CAA,10/10,Civil Aviation Authority,هيئة الطيران المدني
الطيران التجاري والخاص (AviationTech),NTSB,9.5/10,National Transportation Safety Board,المجلس الوطني لسلامة النقل
الطيران التجاري والخاص (AviationTech),CBP,9/10,Customs and Border Protection,الجمارك وحماية الحدود
الطيران التجاري والخاص (AviationTech),TMC,9.5/10,Travel Management Company,شركة إدارة السفر
الطيران التجاري والخاص (AviationTech),ULCC,9.5/10,Ultra Low-Cost Carrier,شركة طيران منخفضة التكلفة للغاية
الطيران التجاري والخاص (AviationTech),NDC,10/10,New Distribution Capability,قدرة التوزيع الجديدة (في حجز التذاكر)
الطيران التجاري والخاص (AviationTech),AOC,10/10,Air Operator Certificate,شهادة المشغل الجوي
الطيران التجاري والخاص (AviationTech),OAG,9/10,Official Aviation Guide,الدليل الرسمي للطيران
الطيران التجاري والخاص (AviationTech),PSS,9.5/10,Passenger Service System,نظام خدمة الركاب
الطيران التجاري والخاص (AviationTech),ILS,10/10,Instrument Landing System,نظام الهبوط الآلي
التعدين والمعادن الثمينة (Mining & Metallurgy),LME,10/10,London Metal Exchange,بورصة لندن للمعادن
التعدين والمعادن الثمينة (Mining & Metallurgy),CME,10/10,Chicago Mercantile Exchange,بورصة شيكاغو التجارية
التعدين والمعادن الثمينة (Mining & Metallurgy),OPEC,10/10,Organization of the Petroleum Exporting Countries,منظمة الدول المصدرة للنفط
التعدين والمعادن الثمينة (Mining & Metallurgy),LBMA,9.5/10,London Bullion Market Association,رابطة سوق سبائك لندن (للذهب)
التعدين والمعادن الثمينة (Mining & Metallurgy),FID,10/10,Final Investment Decision,قرار الاستثمار النهائي (في المشاريع الكبرى)
التعدين والمعادن الثمينة (Mining & Metallurgy),LOM,9.5/10,Life of Mine,عمر المنجم
التعدين والمعادن الثمينة (Mining & Metallurgy),ROM,9/10,Run of Mine,المواد المستخرجة من المنجم قبل المعالجة
التعدين والمعادن الثمينة (Mining & Metallurgy),JORC,9.5/10,Joint Ore Reserves Committee,اللجنة المشتركة لاحتياطيات الخام
التعدين والمعادن الثمينة (Mining & Metallurgy),PFS,9.5/10,Pre-Feasibility Study,دراسة الجدوى المبدئية
التعدين والمعادن الثمينة (Mining & Metallurgy),DFS,9.5/10,Definitive Feasibility Study,دراسة الجدوى النهائية
التعدين والمعادن الثمينة (Mining & Metallurgy),NSR,9/10,Net Smelter Return,عائد المصهر الصافي
التعدين والمعادن الثمينة (Mining & Metallurgy),TSR,9/10,Total Shareholder Return,إجمالي عائد المساهمين
التعدين والمعادن الثمينة (Mining & Metallurgy),EIA,10/10,Environmental Impact Assessment,تقييم الأثر البيئي
التعدين والمعادن الثمينة (Mining & Metallurgy),HME,9.5/10,Heavy Mobile Equipment,المعدات المتنقلة الثقيلة
التعدين والمعادن الثمينة (Mining & Metallurgy),SAG,8.5/10,Semi-Autogenous Grinding,طحن شبه ذاتي (للمعادن)
التعدين والمعادن الثمينة (Mining & Metallurgy),CIP,9.5/10,Carbon in Pulp,استخلاص الذهب باستخدام الكربون
التعدين والمعادن الثمينة (Mining & Metallurgy),CIL,9.5/10,Carbon in Leach,الكربون في الرشح (طريقة استخراج الذهب)
التعدين والمعادن الثمينة (Mining & Metallurgy),DRI,9/10,Direct Reduced Iron,الحديد المكتزل المباشر
التعدين والمعادن الثمينة (Mining & Metallurgy),PGM,10/10,Platinum Group Metals,مجموعة معادن البلاتين
التعدين والمعادن الثمينة (Mining & Metallurgy),REE,10/10,Rare Earth Elements,العناصر الأرضية النادرة
علوم المناخ والبيئة والأرصاد (WeatherTech),WMO,10/10,World Meteorological Organization,المنظمة العالمية للأرصاد الجوية
علوم المناخ والبيئة والأرصاد (WeatherTech),NWS,10/10,National Weather Service,خدمة الطقس الوطنية
علوم المناخ والبيئة والأرصاد (WeatherTech),IPCC,10/10,Intergovernmental Panel on Climate Change,الهيئة الحكومية الدولية المعنية بتغير المناخ
علوم المناخ والبيئة والأرصاد (WeatherTech),COP,10/10,Conference of the Parties,مؤتمر الأطراف (قمة المناخ)
علوم المناخ والبيئة والأرصاد (WeatherTech),GCM,9/10,Global Climate Model,النموذج المناخي العالمي
علوم المناخ والبيئة والأرصاد (WeatherTech),AWS,10/10,Automated Weather Station,محطة طقس آلية (وأيضاً خدمات أمازون)
علوم المناخ والبيئة والأرصاد (WeatherTech),GOES,9.5/10,Geostationary Operational Environmental Satellite,القمر الصناعي البيئي الثابت
علوم المناخ والبيئة والأرصاد (WeatherTech),MET,10/10,Meteorology,علم الأرصاد الجوية
علوم المناخ والبيئة والأرصاد (WeatherTech),CLIM,10/10,Climate,مناخ
علوم المناخ والبيئة والأرصاد (WeatherTech),ENV,10/10,Environment,بيئة
علوم المناخ والبيئة والأرصاد (WeatherTech),ECO,10/10,Ecology / Economy,علم البيئة / اقتصاد
علوم المناخ والبيئة والأرصاد (WeatherTech),AQI,10/10,Air Quality Index,مؤشر جودة الهواء
علوم المناخ والبيئة والأرصاد (WeatherTech),WTH,10/10,Weather,الطقس
علوم المناخ والبيئة والأرصاد (WeatherTech),ENSO,9.5/10,El Nino-Southern Oscillation,ظاهرة النينيو المناخية
علوم المناخ والبيئة والأرصاد (WeatherTech),SST,9/10,Sea Surface Temperature,درجة حرارة سطح البحر
علوم المناخ والبيئة والأرصاد (WeatherTech),EWS,9.5/10,Early Warning System,نظام الإنذار المبكر
علوم المناخ والبيئة والأرصاد (WeatherTech),UHF,10/10,Ultra High Frequency,ترددات فائقة العلو (للرادارات الجوية)
علوم المناخ والبيئة والأرصاد (WeatherTech),EMF,10/10,Electromagnetic Field,المجال الكهرومغناطيسي
علوم المناخ والبيئة والأرصاد (WeatherTech),CFC,9.5/10,Chlorofluorocarbon,مركبات الكربون الكلورية فلورية
علوم المناخ والبيئة والأرصاد (WeatherTech),PPM,10/10,Parts Per Million,جزء في المليون (لقياس التلوث)
