ï»¿Domain,Pattern,L1,L2,L3,Sub-Pattern
bhj.com,Chinese Premium LLL,B,H,J,ABC
bhk.com,Chinese Premium LLL,B,H,K,ABC
bhl.com,Chinese Premium LLL,B,H,L,ABC
bhm.com,Chinese Premium LLL,B,H,M,ABC
bhn.com,Chinese Premium LLL,B,H,N,ABC
bhp.com,Chinese Premium LLL,B,H,P,ABC
bhq.com,Chinese Premium LLL,B,H,Q,ABC
bhr.com,Chinese Premium LLL,B,H,R,ABC
bhs.com,Chinese Premium LLL,B,H,S,ABC
bht.com,Chinese Premium LLL,B,H,T,ABC
bhw.com,Chinese Premium LLL,B,H,W,ABC
bhx.com,Chinese Premium LLL,B,H,X,ABC
bhy.com,Chinese Premium LLL,B,H,Y,ABC
bhz.com,Chinese Premium LLL,B,H,Z,ABC
bjb.com,Chinese Premium LLL,B,J,B,ABA (Premium Symmetrical)
bjc.com,Chinese Premium LLL,B,J,C,ABC
bjd.com,Chinese Premium LLL,B,J,D,ABC
bjf.com,Chinese Premium LLL,B,J,F,ABC
bjg.com,Chinese Premium LLL,B,J,G,ABC
bjh.com,Chinese Premium LLL,B,J,H,ABC
bjj.com,Chinese Premium LLL,B,J,J,ABB (Premium Double)
bjk.com,Chinese Premium LLL,B,J,K,ABC
bjl.com,Chinese Premium LLL,B,J,L,ABC
bjm.com,Chinese Premium LLL,B,J,M,ABC
bjn.com,Chinese Premium LLL,B,J,N,ABC
bjp.com,Chinese Premium LLL,B,J,P,ABC
bjq.com,Chinese Premium LLL,B,J,Q,ABC
bjr.com,Chinese Premium LLL,B,J,R,ABC
bjs.com,Chinese Premium LLL,B,J,S,ABC
bjt.com,Chinese Premium LLL,B,J,T,ABC
bjw.com,Chinese Premium LLL,B,J,W,ABC
bjx.com,Chinese Premium LLL,B,J,X,ABC
bjy.com,Chinese Premium LLL,B,J,Y,ABC
bjz.com,Chinese Premium LLL,B,J,Z,ABC
bkb.com,Chinese Premium LLL,B,K,B,ABA (Premium Symmetrical)
bkc.com,Chinese Premium LLL,B,K,C,ABC
bkd.com,Chinese Premium LLL,B,K,D,ABC
bkf.com,Chinese Premium LLL,B,K,F,ABC
bkg.com,Chinese Premium LLL,B,K,G,ABC
bkh.com,Chinese Premium LLL,B,K,H,ABC
bkj.com,Chinese Premium LLL,B,K,J,ABC
bkk.com,Chinese Premium LLL,B,K,K,ABB (Premium Double)
bkl.com,Chinese Premium LLL,B,K,L,ABC
bkm.com,Chinese Premium LLL,B,K,M,ABC
bkn.com,Chinese Premium LLL,B,K,N,ABC
bkp.com,Chinese Premium LLL,B,K,P,ABC
bkq.com,Chinese Premium LLL,B,K,Q,ABC
bkr.com,Chinese Premium LLL,B,K,R,ABC
bks.com,Chinese Premium LLL,B,K,S,ABC
bkt.com,Chinese Premium LLL,B,K,T,ABC
bkw.com,Chinese Premium LLL,B,K,W,ABC
bkx.com,Chinese Premium LLL,B,K,X,ABC
bky.com,Chinese Premium LLL,B,K,Y,ABC
bkz.com,Chinese Premium LLL,B,K,Z,ABC
blb.com,Chinese Premium LLL,B,L,B,ABA (Premium Symmetrical)
blc.com,Chinese Premium LLL,B,L,C,ABC
bld.com,Chinese Premium LLL,B,L,D,ABC
blf.com,Chinese Premium LLL,B,L,F,ABC
blg.com,Chinese Premium LLL,B,L,G,ABC
blh.com,Chinese Premium LLL,B,L,H,ABC
blj.com,Chinese Premium LLL,B,L,J,ABC
blk.com,Chinese Premium LLL,B,L,K,ABC
bll.com,Chinese Premium LLL,B,L,L,ABB (Premium Double)
blm.com,Chinese Premium LLL,B,L,M,ABC
bln.com,Chinese Premium LLL,B,L,N,ABC
blp.com,Chinese Premium LLL,B,L,P,ABC
blq.com,Chinese Premium LLL,B,L,Q,ABC
blr.com,Chinese Premium LLL,B,L,R,ABC
bls.com,Chinese Premium LLL,B,L,S,ABC
blt.com,Chinese Premium LLL,B,L,T,ABC
blw.com,Chinese Premium LLL,B,L,W,ABC
blx.com,Chinese Premium LLL,B,L,X,ABC
bly.com,Chinese Premium LLL,B,L,Y,ABC
blz.com,Chinese Premium LLL,B,L,Z,ABC
bmb.com,Chinese Premium LLL,B,M,B,ABA (Premium Symmetrical)
bmc.com,Chinese Premium LLL,B,M,C,ABC
bmd.com,Chinese Premium LLL,B,M,D,ABC
bmf.com,Chinese Premium LLL,B,M,F,ABC
bmg.com,Chinese Premium LLL,B,M,G,ABC
bmh.com,Chinese Premium LLL,B,M,H,ABC
bmj.com,Chinese Premium LLL,B,M,J,ABC
bmk.com,Chinese Premium LLL,B,M,K,ABC
bml.com,Chinese Premium LLL,B,M,L,ABC
bmm.com,Chinese Premium LLL,B,M,M,ABB (Premium Double)
bmn.com,Chinese Premium LLL,B,M,N,ABC
bmp.com,Chinese Premium LLL,B,M,P,ABC
bmq.com,Chinese Premium LLL,B,M,Q,ABC
bmr.com,Chinese Premium LLL,B,M,R,ABC
bms.com,Chinese Premium LLL,B,M,S,ABC
bmt.com,Chinese Premium LLL,B,M,T,ABC
bmw.com,Chinese Premium LLL,B,M,W,ABC
bmx.com,Chinese Premium LLL,B,M,X,ABC
bmy.com,Chinese Premium LLL,B,M,Y,ABC
bmz.com,Chinese Premium LLL,B,M,Z,ABC
bnb.com,Chinese Premium LLL,B,N,B,ABA (Premium Symmetrical)
bnc.com,Chinese Premium LLL,B,N,C,ABC
bnd.com,Chinese Premium LLL,B,N,D,ABC
bnf.com,Chinese Premium LLL,B,N,F,ABC
bng.com,Chinese Premium LLL,B,N,G,ABC
bnh.com,Chinese Premium LLL,B,N,H,ABC
bnj.com,Chinese Premium LLL,B,N,J,ABC
bnk.com,Chinese Premium LLL,B,N,K,ABC
bnl.com,Chinese Premium LLL,B,N,L,ABC
bnm.com,Chinese Premium LLL,B,N,M,ABC
bnn.com,Chinese Premium LLL,B,N,N,ABB (Premium Double)
bnp.com,Chinese Premium LLL,B,N,P,ABC
bnq.com,Chinese Premium LLL,B,N,Q,ABC
bnr.com,Chinese Premium LLL,B,N,R,ABC
bns.com,Chinese Premium LLL,B,N,S,ABC
bnt.com,Chinese Premium LLL,B,N,T,ABC
bnw.com,Chinese Premium LLL,B,N,W,ABC
bnx.com,Chinese Premium LLL,B,N,X,ABC
bny.com,Chinese Premium LLL,B,N,Y,ABC
bnz.com,Chinese Premium LLL,B,N,Z,ABC
bpb.com,Chinese Premium LLL,B,P,B,ABA (Premium Symmetrical)
bpc.com,Chinese Premium LLL,B,P,C,ABC
bpd.com,Chinese Premium LLL,B,P,D,ABC
bpf.com,Chinese Premium LLL,B,P,F,ABC
bpg.com,Chinese Premium LLL,B,P,G,ABC
bph.com,Chinese Premium LLL,B,P,H,ABC
bpj.com,Chinese Premium LLL,B,P,J,ABC
bpk.com,Chinese Premium LLL,B,P,K,ABC
bpl.com,Chinese Premium LLL,B,P,L,ABC
bpm.com,Chinese Premium LLL,B,P,M,ABC
bpn.com,Chinese Premium LLL,B,P,N,ABC
bpp.com,Chinese Premium LLL,B,P,P,ABB (Premium Double)
bpq.com,Chinese Premium LLL,B,P,Q,ABC
bpr.com,Chinese Premium LLL,B,P,R,ABC
bps.com,Chinese Premium LLL,B,P,S,ABC
bpt.com,Chinese Premium LLL,B,P,T,ABC
bpw.com,Chinese Premium LLL,B,P,W,ABC
bpx.com,Chinese Premium LLL,B,P,X,ABC
bpy.com,Chinese Premium LLL,B,P,Y,ABC
bpz.com,Chinese Premium LLL,B,P,Z,ABC
bqb.com,Chinese Premium LLL,B,Q,B,ABA (Premium Symmetrical)
bqc.com,Chinese Premium LLL,B,Q,C,ABC
bqd.com,Chinese Premium LLL,B,Q,D,ABC
bqf.com,Chinese Premium LLL,B,Q,F,ABC
bqg.com,Chinese Premium LLL,B,Q,G,ABC
bqh.com,Chinese Premium LLL,B,Q,H,ABC
bqj.com,Chinese Premium LLL,B,Q,J,ABC
bqk.com,Chinese Premium LLL,B,Q,K,ABC
bql.com,Chinese Premium LLL,B,Q,L,ABC
bqm.com,Chinese Premium LLL,B,Q,M,ABC
bqn.com,Chinese Premium LLL,B,Q,N,ABC
bqp.com,Chinese Premium LLL,B,Q,P,ABC
bqq.com,Chinese Premium LLL,B,Q,Q,ABB (Premium Double)
bqr.com,Chinese Premium LLL,B,Q,R,ABC
bqs.com,Chinese Premium LLL,B,Q,S,ABC
bqt.com,Chinese Premium LLL,B,Q,T,ABC
bqw.com,Chinese Premium LLL,B,Q,W,ABC
bqx.com,Chinese Premium LLL,B,Q,X,ABC
bqy.com,Chinese Premium LLL,B,Q,Y,ABC
bqz.com,Chinese Premium LLL,B,Q,Z,ABC
brb.com,Chinese Premium LLL,B,R,B,ABA (Premium Symmetrical)
brc.com,Chinese Premium LLL,B,R,C,ABC
brd.com,Chinese Premium LLL,B,R,D,ABC
brf.com,Chinese Premium LLL,B,R,F,ABC
brg.com,Chinese Premium LLL,B,R,G,ABC
brh.com,Chinese Premium LLL,B,R,H,ABC
brj.com,Chinese Premium LLL,B,R,J,ABC
brk.com,Chinese Premium LLL,B,R,K,ABC
brl.com,Chinese Premium LLL,B,R,L,ABC
brm.com,Chinese Premium LLL,B,R,M,ABC
brn.com,Chinese Premium LLL,B,R,N,ABC
brp.com,Chinese Premium LLL,B,R,P,ABC
brq.com,Chinese Premium LLL,B,R,Q,ABC
brr.com,Chinese Premium LLL,B,R,R,ABB (Premium Double)
brs.com,Chinese Premium LLL,B,R,S,ABC
brt.com,Chinese Premium LLL,B,R,T,ABC
brw.com,Chinese Premium LLL,B,R,W,ABC
brx.com,Chinese Premium LLL,B,R,X,ABC
bry.com,Chinese Premium LLL,B,R,Y,ABC
brz.com,Chinese Premium LLL,B,R,Z,ABC
bsb.com,Chinese Premium LLL,B,S,B,ABA (Premium Symmetrical)
bsc.com,Chinese Premium LLL,B,S,C,ABC
bsd.com,Chinese Premium LLL,B,S,D,ABC
bsf.com,Chinese Premium LLL,B,S,F,ABC
bsg.com,Chinese Premium LLL,B,S,G,ABC
bsh.com,Chinese Premium LLL,B,S,H,ABC
bsj.com,Chinese Premium LLL,B,S,J,ABC
bsk.com,Chinese Premium LLL,B,S,K,ABC
bsl.com,Chinese Premium LLL,B,S,L,ABC
bsm.com,Chinese Premium LLL,B,S,M,ABC
bsn.com,Chinese Premium LLL,B,S,N,ABC
bsp.com,Chinese Premium LLL,B,S,P,ABC
bsq.com,Chinese Premium LLL,B,S,Q,ABC
bsr.com,Chinese Premium LLL,B,S,R,ABC
bss.com,Chinese Premium LLL,B,S,S,ABB (Premium Double)
bst.com,Chinese Premium LLL,B,S,T,ABC
bsw.com,Chinese Premium LLL,B,S,W,ABC
bsx.com,Chinese Premium LLL,B,S,X,ABC
bsy.com,Chinese Premium LLL,B,S,Y,ABC
bsz.com,Chinese Premium LLL,B,S,Z,ABC
btb.com,Chinese Premium LLL,B,T,B,ABA (Premium Symmetrical)
btc.com,Chinese Premium LLL,B,T,C,ABC
btd.com,Chinese Premium LLL,B,T,D,ABC
btf.com,Chinese Premium LLL,B,T,F,ABC
btg.com,Chinese Premium LLL,B,T,G,ABC
bth.com,Chinese Premium LLL,B,T,H,ABC
btj.com,Chinese Premium LLL,B,T,J,ABC
btk.com,Chinese Premium LLL,B,T,K,ABC
btl.com,Chinese Premium LLL,B,T,L,ABC
btm.com,Chinese Premium LLL,B,T,M,ABC
btn.com,Chinese Premium LLL,B,T,N,ABC
btp.com,Chinese Premium LLL,B,T,P,ABC
btq.com,Chinese Premium LLL,B,T,Q,ABC
btr.com,Chinese Premium LLL,B,T,R,ABC
bts.com,Chinese Premium LLL,B,T,S,ABC
btt.com,Chinese Premium LLL,B,T,T,ABB (Premium Double)
btw.com,Chinese Premium LLL,B,T,W,ABC
btx.com,Chinese Premium LLL,B,T,X,ABC
bty.com,Chinese Premium LLL,B,T,Y,ABC
btz.com,Chinese Premium LLL,B,T,Z,ABC
bwb.com,Chinese Premium LLL,B,W,B,ABA (Premium Symmetrical)
bwc.com,Chinese Premium LLL,B,W,C,ABC
bwd.com,Chinese Premium LLL,B,W,D,ABC
bwf.com,Chinese Premium LLL,B,W,F,ABC
bwg.com,Chinese Premium LLL,B,W,G,ABC
bwh.com,Chinese Premium LLL,B,W,H,ABC
bwj.com,Chinese Premium LLL,B,W,J,ABC
bwk.com,Chinese Premium LLL,B,W,K,ABC
bwl.com,Chinese Premium LLL,B,W,L,ABC
bwm.com,Chinese Premium LLL,B,W,M,ABC
bwn.com,Chinese Premium LLL,B,W,N,ABC
bwp.com,Chinese Premium LLL,B,W,P,ABC
bwq.com,Chinese Premium LLL,B,W,Q,ABC
bwr.com,Chinese Premium LLL,B,W,R,ABC
bws.com,Chinese Premium LLL,B,W,S,ABC
bwt.com,Chinese Premium LLL,B,W,T,ABC
bww.com,Chinese Premium LLL,B,W,W,ABB (Premium Double)
bwx.com,Chinese Premium LLL,B,W,X,ABC
bwy.com,Chinese Premium LLL,B,W,Y,ABC
bwz.com,Chinese Premium LLL,B,W,Z,ABC
bxb.com,Chinese Premium LLL,B,X,B,ABA (Premium Symmetrical)
bxc.com,Chinese Premium LLL,B,X,C,ABC
bxd.com,Chinese Premium LLL,B,X,D,ABC
bxf.com,Chinese Premium LLL,B,X,F,ABC
bxg.com,Chinese Premium LLL,B,X,G,ABC
bxh.com,Chinese Premium LLL,B,X,H,ABC
bxj.com,Chinese Premium LLL,B,X,J,ABC
bxk.com,Chinese Premium LLL,B,X,K,ABC
bxl.com,Chinese Premium LLL,B,X,L,ABC
bxm.com,Chinese Premium LLL,B,X,M,ABC
bxn.com,Chinese Premium LLL,B,X,N,ABC
bxp.com,Chinese Premium LLL,B,X,P,ABC
bxq.com,Chinese Premium LLL,B,X,Q,ABC
bxr.com,Chinese Premium LLL,B,X,R,ABC
bxs.com,Chinese Premium LLL,B,X,S,ABC
bxt.com,Chinese Premium LLL,B,X,T,ABC
bxw.com,Chinese Premium LLL,B,X,W,ABC
bxx.com,Chinese Premium LLL,B,X,X,ABB (Premium Double)
bxy.com,Chinese Premium LLL,B,X,Y,ABC
bxz.com,Chinese Premium LLL,B,X,Z,ABC
byb.com,Chinese Premium LLL,B,Y,B,ABA (Premium Symmetrical)
byc.com,Chinese Premium LLL,B,Y,C,ABC
byd.com,Chinese Premium LLL,B,Y,D,ABC
byf.com,Chinese Premium LLL,B,Y,F,ABC
byg.com,Chinese Premium LLL,B,Y,G,ABC
byh.com,Chinese Premium LLL,B,Y,H,ABC
byj.com,Chinese Premium LLL,B,Y,J,ABC
byk.com,Chinese Premium LLL,B,Y,K,ABC
byl.com,Chinese Premium LLL,B,Y,L,ABC
bym.com,Chinese Premium LLL,B,Y,M,ABC
byn.com,Chinese Premium LLL,B,Y,N,ABC
byp.com,Chinese Premium LLL,B,Y,P,ABC
byq.com,Chinese Premium LLL,B,Y,Q,ABC
byr.com,Chinese Premium LLL,B,Y,R,ABC
bys.com,Chinese Premium LLL,B,Y,S,ABC
byt.com,Chinese Premium LLL,B,Y,T,ABC
byw.com,Chinese Premium LLL,B,Y,W,ABC
byx.com,Chinese Premium LLL,B,Y,X,ABC
byy.com,Chinese Premium LLL,B,Y,Y,ABB (Premium Double)
byz.com,Chinese Premium LLL,B,Y,Z,ABC
bzb.com,Chinese Premium LLL,B,Z,B,ABA (Premium Symmetrical)
bzc.com,Chinese Premium LLL,B,Z,C,ABC
bzd.com,Chinese Premium LLL,B,Z,D,ABC
bzf.com,Chinese Premium LLL,B,Z,F,ABC
bzg.com,Chinese Premium LLL,B,Z,G,ABC
bzh.com,Chinese Premium LLL,B,Z,H,ABC
bzj.com,Chinese Premium LLL,B,Z,J,ABC
bzk.com,Chinese Premium LLL,B,Z,K,ABC
bzl.com,Chinese Premium LLL,B,Z,L,ABC
bzm.com,Chinese Premium LLL,B,Z,M,ABC
bzn.com,Chinese Premium LLL,B,Z,N,ABC
bzp.com,Chinese Premium LLL,B,Z,P,ABC
bzq.com,Chinese Premium LLL,B,Z,Q,ABC
bzr.com,Chinese Premium LLL,B,Z,R,ABC
bzs.com,Chinese Premium LLL,B,Z,S,ABC
bzt.com,Chinese Premium LLL,B,Z,T,ABC
bzw.com,Chinese Premium LLL,B,Z,W,ABC
bzx.com,Chinese Premium LLL,B,Z,X,ABC
bzy.com,Chinese Premium LLL,B,Z,Y,ABC
bzz.com,Chinese Premium LLL,B,Z,Z,ABB (Premium Double)
cbb.com,Chinese Premium LLL,C,B,B,ABB (Premium Double)
cbc.com,Chinese Premium LLL,C,B,C,ABA (Premium Symmetrical)
cbd.com,Chinese Premium LLL,C,B,D,ABC
cbf.com,Chinese Premium LLL,C,B,F,ABC
cbg.com,Chinese Premium LLL,C,B,G,ABC
cbh.com,Chinese Premium LLL,C,B,H,ABC
cbj.com,Chinese Premium LLL,C,B,J,ABC
cbk.com,Chinese Premium LLL,C,B,K,ABC
cbl.com,Chinese Premium LLL,C,B,L,ABC
cbm.com,Chinese Premium LLL,C,B,M,ABC
cbn.com,Chinese Premium LLL,C,B,N,ABC
cbp.com,Chinese Premium LLL,C,B,P,ABC
cbq.com,Chinese Premium LLL,C,B,Q,ABC
cbr.com,Chinese Premium LLL,C,B,R,ABC
cbs.com,Chinese Premium LLL,C,B,S,ABC
cbt.com,Chinese Premium LLL,C,B,T,ABC
cbw.com,Chinese Premium LLL,C,B,W,ABC
cbx.com,Chinese Premium LLL,C,B,X,ABC
cby.com,Chinese Premium LLL,C,B,Y,ABC
cbz.com,Chinese Premium LLL,C,B,Z,ABC
ccb.com,Chinese Premium LLL,C,C,B,AAB (Premium Double)
ccc.com,Chinese Premium LLL,C,C,C,AAA (Legendary Solid)
ccd.com,Chinese Premium LLL,C,C,D,AAB (Premium Double)
ccf.com,Chinese Premium LLL,C,C,F,AAB (Premium Double)
ccg.com,Chinese Premium LLL,C,C,G,AAB (Premium Double)
cch.com,Chinese Premium LLL,C,C,H,AAB (Premium Double)
ccj.com,Chinese Premium LLL,C,C,J,AAB (Premium Double)
cck.com,Chinese Premium LLL,C,C,K,AAB (Premium Double)
ccl.com,Chinese Premium LLL,C,C,L,AAB (Premium Double)
ccm.com,Chinese Premium LLL,C,C,M,AAB (Premium Double)
ccn.com,Chinese Premium LLL,C,C,N,AAB (Premium Double)
ccp.com,Chinese Premium LLL,C,C,P,AAB (Premium Double)
ccq.com,Chinese Premium LLL,C,C,Q,AAB (Premium Double)
ccr.com,Chinese Premium LLL,C,C,R,AAB (Premium Double)
ccs.com,Chinese Premium LLL,C,C,S,AAB (Premium Double)
cct.com,Chinese Premium LLL,C,C,T,AAB (Premium Double)
ccw.com,Chinese Premium LLL,C,C,W,AAB (Premium Double)
ccx.com,Chinese Premium LLL,C,C,X,AAB (Premium Double)
ccy.com,Chinese Premium LLL,C,C,Y,AAB (Premium Double)
ccz.com,Chinese Premium LLL,C,C,Z,AAB (Premium Double)
cdb.com,Chinese Premium LLL,C,D,B,ABC
cdc.com,Chinese Premium LLL,C,D,C,ABA (Premium Symmetrical)
cdd.com,Chinese Premium LLL,C,D,D,ABB (Premium Double)
cdf.com,Chinese Premium LLL,C,D,F,ABC
cdg.com,Chinese Premium LLL,C,D,G,ABC
cdh.com,Chinese Premium LLL,C,D,H,ABC
cdj.com,Chinese Premium LLL,C,D,J,ABC
cdk.com,Chinese Premium LLL,C,D,K,ABC
cdl.com,Chinese Premium LLL,C,D,L,ABC
cdm.com,Chinese Premium LLL,C,D,M,ABC
cdn.com,Chinese Premium LLL,C,D,N,ABC
cdp.com,Chinese Premium LLL,C,D,P,ABC
cdq.com,Chinese Premium LLL,C,D,Q,ABC
cdr.com,Chinese Premium LLL,C,D,R,ABC
cds.com,Chinese Premium LLL,C,D,S,ABC
cdt.com,Chinese Premium LLL,C,D,T,ABC
cdw.com,Chinese Premium LLL,C,D,W,ABC
cdx.com,Chinese Premium LLL,C,D,X,ABC
cdy.com,Chinese Premium LLL,C,D,Y,ABC
cdz.com,Chinese Premium LLL,C,D,Z,ABC
cfb.com,Chinese Premium LLL,C,F,B,ABC
cfc.com,Chinese Premium LLL,C,F,C,ABA (Premium Symmetrical)
cfd.com,Chinese Premium LLL,C,F,D,ABC
cff.com,Chinese Premium LLL,C,F,F,ABB (Premium Double)
cfg.com,Chinese Premium LLL,C,F,G,ABC
cfh.com,Chinese Premium LLL,C,F,H,ABC
cfj.com,Chinese Premium LLL,C,F,J,ABC
cfk.com,Chinese Premium LLL,C,F,K,ABC
cfl.com,Chinese Premium LLL,C,F,L,ABC
cfm.com,Chinese Premium LLL,C,F,M,ABC
cfn.com,Chinese Premium LLL,C,F,N,ABC
cfp.com,Chinese Premium LLL,C,F,P,ABC
cfq.com,Chinese Premium LLL,C,F,Q,ABC
cfr.com,Chinese Premium LLL,C,F,R,ABC
cfs.com,Chinese Premium LLL,C,F,S,ABC
cft.com,Chinese Premium LLL,C,F,T,ABC
cfw.com,Chinese Premium LLL,C,F,W,ABC
cfx.com,Chinese Premium LLL,C,F,X,ABC
cfy.com,Chinese Premium LLL,C,F,Y,ABC
cfz.com,Chinese Premium LLL,C,F,Z,ABC
cgb.com,Chinese Premium LLL,C,G,B,ABC
cgc.com,Chinese Premium LLL,C,G,C,ABA (Premium Symmetrical)
cgd.com,Chinese Premium LLL,C,G,D,ABC
cgf.com,Chinese Premium LLL,C,G,F,ABC
cgg.com,Chinese Premium LLL,C,G,G,ABB (Premium Double)
cgh.com,Chinese Premium LLL,C,G,H,ABC
cgj.com,Chinese Premium LLL,C,G,J,ABC
cgk.com,Chinese Premium LLL,C,G,K,ABC
cgl.com,Chinese Premium LLL,C,G,L,ABC
