القطاع,الاختصار,التقييم,المعنى بالإنجليزية,المعنى بالعربية
الإلكترونيات الاستهلاكية والأجهزة (Consumer Electronics),DOA,10/10,Dead On Arrival,تالف عند الوصول
العمل الخيري والمنظمات غير الربحية (Non-Profit & Philanthropy),IGO,9.5/10,Intergovernmental Organization,منظمة دولية حكومية
العمل الخيري والمنظمات غير الربحية (Non-Profit & Philanthropy),CBO,9.5/10,Community-Based Organization,منظمة مجتمعية
العمل الخيري والمنظمات غير الربحية (Non-Profit & Philanthropy),CSO,9/10,Civil Society Organization,منظمة المجتمع المدني
العمل الخيري والمنظمات غير الربحية (Non-Profit & Philanthropy),DAF,10/10,Donor-Advised Fund,صندوق ينصح به المانحون (مؤسسات مالية خيرية)
العمل الخيري والمنظمات غير الربحية (Non-Profit & Philanthropy),SRI,10/10,Socially Responsible Investing,الاستثمار المسؤول اجتماعياً
العمل الخيري والمنظمات غير الربحية (Non-Profit & Philanthropy),MFI,9.5/10,Microfinance Institution,مؤسسة التمويل الأصغر
العمل الخيري والمنظمات غير الربحية (Non-Profit & Philanthropy),INGO,10/10,International NGO,منظمة غير حكومية دولية
العمل الخيري والمنظمات غير الربحية (Non-Profit & Philanthropy),GRO,9/10,Grassroots Organization,منظمة شعبية
العمل الخيري والمنظمات غير الربحية (Non-Profit & Philanthropy),PVO,8.5/10,Private Voluntary Organization,منظمة تطوعية خاصة
العمل الخيري والمنظمات غير الربحية (Non-Profit & Philanthropy),NFP,10/10,Not For Profit,غير ربحي
العمل الخيري والمنظمات غير الربحية (Non-Profit & Philanthropy),ENGO,9/10,Environmental NGO,منظمة بيئية غير حكومية
العمل الخيري والمنظمات غير الربحية (Non-Profit & Philanthropy),MEAL,9.5/10,Monitoring Evaluation Accountability Learning,المراقبة والتقييم والمساءلة والتعلم
العمل الخيري والمنظمات غير الربحية (Non-Profit & Philanthropy),RBA,9/10,Rights-Based Approach,النهج القائم على الحقوق
العمل الخيري والمنظمات غير الربحية (Non-Profit & Philanthropy),ODA,9.5/10,Official Development Assistance,المساعدة الإنمائية الرسمية
العمل الخيري والمنظمات غير الربحية (Non-Profit & Philanthropy),KII,8.5/10,Key Informant Interview,مقابلة مع مخبر رئيسي (في الأبحاث)
العمل الخيري والمنظمات غير الربحية (Non-Profit & Philanthropy),FGD,9/10,Focus Group Discussion,نقاش مجموعة التركيز
العمل الخيري والمنظمات غير الربحية (Non-Profit & Philanthropy),TOR,10/10,Terms of Reference,الشروط المرجعية
العمل الخيري والمنظمات غير الربحية (Non-Profit & Philanthropy),CBA,9.5/10,Cost-Benefit Analysis,تحليل التكلفة والعائد
العمل الخيري والمنظمات غير الربحية (Non-Profit & Philanthropy),LFA,9/10,Logical Framework Approach,نهج الإطار المنطقي
العمل الخيري والمنظمات غير الربحية (Non-Profit & Philanthropy),MNE,9/10,Multinational Enterprise,مؤسسة متعددة الجنسيات
